Connecting to 45.63.82.34:1883 …

Listening for 15 minutes … (Ctrl-C to stop early)

[connect] rc=0 — OK
  ✓ Subscribed: KTBMES/TWIX/sensors/house_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_weather_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/other_pressure_sensors/#
  ✓ Subscribed: KTBMES/TWIX/sensors/unknown_other_sensors/#
  [   1s /  899s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_234  →  {"device_id": "234", "device_name": "UNKNOWN_DEVICE_234", "protocol_id": "-1", "
  [   2s /  898s left]  KTBMES/TWIX/sensors/house_weather_sensors/OFFICE  →  {"device_id": "234", "device_name": "OFFICE", "protocol_id": "55", "protocol_nam
  [   2s /  898s left]  KTBMES/TWIX/sensors/other_pressure_sensors/UNKNOWN_DEVICE_0e04b785  →  {"device_id": "0e04b785", "device_name": "UNKNOWN_DEVICE_0e04b785", "protocol_id
  [   2s /  898s left]  KTBMES/TWIX/sensors/other_pressure_sensors/UNKNOWN_DEVICE_0e04b7  →  {"device_id": "0e04b7", "device_name": "UNKNOWN_DEVICE_0e04b7", "protocol_id": "
  [   2s /  898s left]  KTBMES/TWIX/sensors/other_pressure_sensors/UNKNOWN_DEVICE_0e04b78e  →  {"device_id": "0e04b78e", "device_name": "UNKNOWN_DEVICE_0e04b78e", "protocol_id
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_632377d8  →  {"device_id": "632377d8", "device_name": "UNKNOWN_DEVICE_632377d8", "protocol_id
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_223858  →  {"device_id": "223858", "device_name": "UNKNOWN_DEVICE_223858", "protocol_id": "
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_223819  →  {"device_id": "223819", "device_name": "UNKNOWN_DEVICE_223819", "protocol_id": "
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_a07c5b4d  →  {"device_id": "a07c5b4d", "device_name": "UNKNOWN_DEVICE_a07c5b4d", "protocol_id
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_20a07c5b  →  {"device_id": "20a07c5b", "device_name": "UNKNOWN_DEVICE_20a07c5b", "protocol_id
  [   2s /  898s left]  KTBMES/TWIX/sensors/unknown_other_sensors/UNKNOWN_DEVICE_106  →  {"device_id": "106", "device_name": "UNKNOWN_DEVICE_106", "protocol_id": "-1", "
